epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,88257.8,0.5761,0.37865,0.92659,0.92387,0.87897,0.92282,0.74784,0.90196,0.48211,0.91621,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,89396.3,0.57565,0.37973,0.92585,0.9249,0.87873,0.92312,0.74817,0.90093,0.48139,0.91589,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,90537.5,0.57298,0.37739,0.92686,0.9264,0.87785,0.92333,0.74835,0.89973,0.48038,0.91553,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,91644.7,0.57153,0.37598,0.92615,0.92668,0.87818,0.92375,0.74873,0.89885,0.47947,0.91519,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,92755.6,0.56219,0.37183,0.92485,0.92775,0.87732,0.92412,0.74911,0.89774,0.47861,0.91485,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,93871,0.56477,0.37085,0.92207,0.92803,0.87778,0.92451,0.74956,0.89668,0.47781,0.91458,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,95010.8,0.5596,0.36547,0.91978,0.92901,0.8779,0.92475,0.74983,0.89533,0.47659,0.91436,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,96117.9,0.55783,0.36542,0.91948,0.92932,0.87767,0.92492,0.75006,0.89385,0.47581,0.91396,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,97212.2,0.55185,0.36213,0.91764,0.92931,0.87808,0.92518,0.75048,0.8924,0.47509,0.91342,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,98324.1,0.55333,0.36172,0.91827,0.92939,0.87832,0.92547,0.7508,0.89131,0.47434,0.91313,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
