epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6371.28,1.45941,0.65461,0.83985,0.8946,0.79693,0.84742,0.47607,1.52085,0.66645,0.81764,0.000614,0.000614,0.000614
72,6579.51,1.44326,0.65198,0.83235,0.89604,0.79411,0.84929,0.47419,1.52673,0.66974,0.81809,0.0005942,0.0005942,0.0005942
73,6787.63,1.42671,0.64089,0.83199,0.89853,0.80537,0.85112,0.47968,1.52327,0.65709,0.81853,0.0005744,0.0005744,0.0005744
74,6995.27,1.42278,0.63779,0.82772,0.89973,0.79808,0.84765,0.48017,1.53151,0.65964,0.82069,0.0005546,0.0005546,0.0005546
75,7203.06,1.43653,0.64556,0.83354,0.8974,0.80038,0.85238,0.47975,1.53708,0.6603,0.81843,0.0005348,0.0005348,0.0005348
76,7410.89,1.42117,0.6412,0.83223,0.89872,0.80653,0.85372,0.48811,1.4831,0.65295,0.81564,0.000515,0.000515,0.000515
77,7617.57,1.40386,0.62923,0.82884,0.89681,0.80073,0.85349,0.48465,1.49621,0.65483,0.81685,0.0004952,0.0004952,0.0004952
78,7824.69,1.39669,0.62587,0.82653,0.88582,0.80845,0.85304,0.48247,1.50789,0.64864,0.81614,0.0004754,0.0004754,0.0004754
79,8031.88,1.37579,0.62249,0.82781,0.89765,0.81141,0.85549,0.48515,1.49432,0.64378,0.81488,0.0004556,0.0004556,0.0004556
80,8238.97,1.39129,0.63155,0.82709,0.90144,0.81102,0.85897,0.49073,1.48081,0.64397,0.813,0.0004358,0.0004358,0.0004358
81,8444.8,1.3923,0.6274,0.82983,0.90736,0.80845,0.85916,0.49075,1.49326,0.64766,0.8141,0.000416,0.000416,0.000416
82,8650.71,1.37581,0.61778,0.82422,0.89254,0.80921,0.85188,0.49251,1.46664,0.64265,0.81076,0.0003962,0.0003962,0.0003962
83,8856.88,1.39423,0.62209,0.82727,0.90306,0.80883,0.85875,0.4934,1.46848,0.64084,0.81266,0.0003764,0.0003764,0.0003764
84,9063.44,1.36209,0.61184,0.82648,0.91289,0.80858,0.85846,0.4939,1.47591,0.64201,0.81292,0.0003566,0.0003566,0.0003566
85,9269.21,1.35406,0.61039,0.82786,0.90877,0.80614,0.85495,0.49248,1.46931,0.63935,0.81366,0.0003368,0.0003368,0.0003368
86,9475.73,1.38336,0.62154,0.82628,0.90721,0.80691,0.85671,0.49544,1.45319,0.63314,0.81116,0.000317,0.000317,0.000317
87,9682.42,1.36463,0.60988,0.82111,0.90534,0.80771,0.85728,0.49996,1.45054,0.62953,0.81127,0.0002972,0.0002972,0.0002972
88,9888.27,1.35138,0.60148,0.82221,0.90687,0.8142,0.86176,0.49638,1.47588,0.63635,0.81345,0.0002774,0.0002774,0.0002774
89,10094.1,1.34318,0.59992,0.82318,0.91537,0.80921,0.86057,0.49608,1.46575,0.633,0.81311,0.0002576,0.0002576,0.0002576
90,10300.1,1.35057,0.60352,0.81954,0.91504,0.80619,0.86098,0.50022,1.4517,0.62717,0.81064,0.0002378,0.0002378,0.0002378
91,10503.7,1.29469,0.58645,0.8306,0.90099,0.80692,0.85477,0.49152,1.48353,0.64524,0.81449,0.000218,0.000218,0.000218
92,10705.5,1.26143,0.57573,0.82658,0.91395,0.80845,0.8587,0.49807,1.48451,0.64304,0.8134,0.0001982,0.0001982,0.0001982
93,10907.4,1.26074,0.57268,0.82756,0.91003,0.80883,0.86037,0.49907,1.47597,0.63632,0.81346,0.0001784,0.0001784,0.0001784
94,11109.1,1.2421,0.57027,0.82722,0.91356,0.80729,0.86045,0.49957,1.46789,0.63721,0.81216,0.0001586,0.0001586,0.0001586
95,11311.2,1.24036,0.56834,0.82491,0.91435,0.80921,0.85789,0.50123,1.46272,0.63076,0.81231,0.0001388,0.0001388,0.0001388
96,11512.9,1.23477,0.56594,0.82886,0.91128,0.80845,0.85922,0.50032,1.46161,0.63132,0.81171,0.000119,0.000119,0.000119
97,11714.8,1.22938,0.56724,0.82514,0.91082,0.80761,0.85751,0.49993,1.46831,0.63396,0.8122,9.92e-05,9.92e-05,9.92e-05
98,11916.9,1.20251,0.55675,0.82808,0.91069,0.81417,0.86165,0.50318,1.45111,0.63062,0.81135,7.94e-05,7.94e-05,7.94e-05
99,12118,1.21511,0.55723,0.8232,0.90871,0.81267,0.85924,0.50332,1.45042,0.6278,0.81119,5.96e-05,5.96e-05,5.96e-05
100,12318.5,1.20912,0.55892,0.82227,0.90962,0.81344,0.86206,0.50616,1.44257,0.62457,0.81025,3.98e-05,3.98e-05,3.98e-05
